timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789057799757,41,/login-0,303,See Other,Thread Group 1-17,text,true,,514,522,1,1,http://103.94.135.91:8080/login,41,0,0
1789057799800,38,/login-1,200,OK,Thread Group 1-17,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,27,0,0
1789057799839,29,/api/download/256-56,200,OK,Thread Group 1-17,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
1789057801320,36,/,200,OK,Thread Group 1-18,text,true,,2434,352,1,1,http://103.94.135.91:8080/,36,0,10
1789057801359,136,/notices,200,OK,Thread Group 1-18,text,true,,7518,396,1,1,http://103.94.135.91:8080/notices,136,0,0
1789057801496,308,/courses-39,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 308 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,286,0,0
1789057801805,108,/login,200,OK,Thread Group 1-18,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,41,0,0
1789057801805,41,/login-0,303,See Other,Thread Group 1-18,text,true,,514,522,1,1,http://103.94.135.91:8080/login,41,0,0
1789057801847,66,/login-1,200,OK,Thread Group 1-18,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,50,0,0
1789057801915,31,/api/download/256-56,200,OK,Thread Group 1-18,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,9,0,0
1789057803320,23,/,200,OK,Thread Group 1-19,text,true,,2434,352,1,1,http://103.94.135.91:8080/,23,0,10
1789057803344,145,/notices,200,OK,Thread Group 1-19,text,true,,7518,396,1,1,http://103.94.135.91:8080/notices,143,0,0
1789057803490,196,/courses-39,200,OK,Thread Group 1-19,text,true,,44407,403,1,1,http://103.94.135.91:8080/courses,187,0,0
1789057803687,129,/login,200,OK,Thread Group 1-19,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,45,0,0
1789057803687,45,/login-0,303,See Other,Thread Group 1-19,text,true,,514,522,1,1,http://103.94.135.91:8080/login,45,0,0
1789057803733,83,/login-1,200,OK,Thread Group 1-19,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,69,0,0
1789057803818,30,/api/download/256-56,200,OK,Thread Group 1-19,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,8,0,0
1789057805320,22,/,200,OK,Thread Group 1-20,text,true,,2434,352,1,1,http://103.94.135.91:8080/,22,0,10
1789057805343,243,/notices,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 243 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,242,0,0
1789057805589,301,/courses-39,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 301 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,288,0,0
1789057805892,93,/login,200,OK,Thread Group 1-20,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,56,0,0
1789057805892,57,/login-0,303,See Other,Thread Group 1-20,text,true,,514,522,1,1,http://103.94.135.91:8080/login,56,0,0
1789057805949,36,/login-1,200,OK,Thread Group 1-20,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,23,0,0
1789057805986,31,/api/download/256-56,200,OK,Thread Group 1-20,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,8,0,0
1789057807322,22,/,200,OK,Thread Group 1-21,text,true,,2434,352,1,1,http://103.94.135.91:8080/,22,0,9
1789057807345,378,/notices,200,OK,Thread Group 1-21,text,false,"The operation lasted too long: It took 378 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,377,0,0
1789057807724,312,/courses-39,200,OK,Thread Group 1-21,text,false,"The operation lasted too long: It took 312 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,304,0,0
1789057808037,157,/login,200,OK,Thread Group 1-21,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,59,0,0
1789057808037,59,/login-0,303,See Other,Thread Group 1-21,text,true,,514,522,1,1,http://103.94.135.91:8080/login,59,0,0
1789057808097,97,/login-1,200,OK,Thread Group 1-21,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,30,0,0
1789057808196,71,/api/download/256-56,200,OK,Thread Group 1-21,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,10,0,0
1789057809320,112,/,200,OK,Thread Group 1-22,text,true,,2434,352,1,1,http://103.94.135.91:8080/,112,0,62
1789057809433,337,/notices,200,OK,Thread Group 1-22,text,false,"The operation lasted too long: It took 337 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,337,0,0
1789057809771,339,/courses-39,200,OK,Thread Group 1-22,text,false,"The operation lasted too long: It took 339 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,306,0,0
1789057810112,141,/login,200,OK,Thread Group 1-22,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,81,0,0
1789057810112,81,/login-0,303,See Other,Thread Group 1-22,text,true,,514,522,1,1,http://103.94.135.91:8080/login,81,0,0
1789057810194,59,/login-1,200,OK,Thread Group 1-22,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,44,0,0
1789057810255,32,/api/download/256-56,200,OK,Thread Group 1-22,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,10,0,0
1789057811318,46,/,200,OK,Thread Group 1-23,text,true,,2434,352,1,1,http://103.94.135.91:8080/,46,0,12
